hour,weather,traffic_volume,avg_speed,speed_variance,visibility,accident_risk
0,Clear,1500,60,5,10,0.15
1,Clear,800,70,3,10,0.10
2,Clear,600,75,2,10,0.08
3,Clear,500,75,2,10,0.05
4,Clear,700,70,3,10,0.08
5,Clear,1200,65,4,10,0.12
6,Clear,2500,50,8,10,0.25
7,Clear,4500,40,15,10,0.35
8,Rain,5500,35,20,5,0.65
9,Clear,5000,38,18,8,0.55
10,Clear,4200,45,12,10,0.38
11,Clear,4800,42,14,9,0.42
12,Clear,5200,40,16,10,0.45
13,Clear,5000,41,15,10,0.43
14,Clear,4700,42,14,10,0.40
15,Clear,4500,43,13,10,0.38
16,Clear,4800,42,14,10,0.42
17,Rain,5800,35,22,4,0.72
18,Rain,6200,32,25,3,0.78
19,Clear,5500,38,20,7,0.58
20,Clear,4200,45,12,10,0.38
21,Clear,3500,50,10,10,0.28
22,Clear,2800,55,7,10,0.20
23,Clear,2000,60,5,10,0.16
0,Fog,1800,55,8,3,0.38
1,Fog,1000,65,4,3,0.25
2,Fog,700,70,3,3,0.18
3,Fog,600,72,2,3,0.12
4,Fog,800,68,3,3,0.15
5,Fog,1500,60,6,3,0.28
6,Fog,3000,45,12,3,0.52
7,Fog,5200,35,20,2,0.82
8,Fog,6000,30,25,2,0.95
9,Fog,5500,33,22,2,0.88
10,Fog,4800,40,16,3,0.65
11,Snow,4500,38,18,2,0.75
12,Snow,5000,36,20,2,0.80
13,Snow,4800,37,19,2,0.78
14,Snow,4600,39,17,3,0.68
15,Snow,4400,40,15,4,0.62
16,Snow,4700,38,18,2,0.75
17,Snow,5600,33,23,1,0.90
18,Snow,6000,31,26,1,0.98
19,Snow,5400,34,21,2,0.85
20,Clear,4000,48,11,10,0.35
21,Clear,3200,52,9,10,0.26
22,Clear,2500,56,6,10,0.18
23,Clear,1800,62,4,10,0.14
0,Clear,1600,58,5,10,0.16
6,Rain,3200,52,16,5,0.48
7,Rain,5000,40,18,4,0.68
8,Clear,5300,37,19,8,0.52
12,Rain,5400,39,17,6,0.62
18,Clear,5600,36,21,9,0.54
19,Rain,5900,34,24,3,0.80
20,Clear,4100,46,12,10,0.36
0,Fog,2000,54,9,2,0.42
6,Fog,3500,48,14,2,0.62
9,Snow,5200,35,21,1,0.92
12,Snow,4900,38,18,2,0.76
18,Snow,5800,32,25,1,0.95
22,Clear,2600,54,7,10,0.19
